date,sku,warehouse,inventory_units,unit_cost,service_level_target
2025-03-01,SKU-C300,WH-Sarajevo,419,19.9,0.95
2025-03-02,SKU-A100,WH-Sarajevo,257,12.5,0.95
2025-03-02,SKU-B200,WH-Sarajevo,205,7.8,0.95
2025-03-02,SKU-C300,WH-Sarajevo,467,19.9,0.95
2025-03-03,SKU-A100,WH-Sarajevo,250,12.5,0.95
2025-03-03,SKU-B200,WH-Sarajevo,161,7.8,0.95
2025-03-03,SKU-C300,WH-Sarajevo,414,19.9,0.95
2025-03-04,SKU-A100,WH-Sarajevo,278,12.5,0.95
2025-03-04,SKU-B200,WH-Sarajevo,142,7.8,0.95
2025-03-04,SKU-C300,WH-Sarajevo,401,19.9,0.95
2025-03-05,SKU-A100,WH-Sarajevo,320,12.5,0.95
2025-03-05,SKU-B200,WH-Sarajevo,133,7.8,0.95
2025-03-05,SKU-C300,WH-Sarajevo,421,19.9,0.95
2025-03-06,SKU-A100,WH-Sarajevo,316,12.5,0.95
2025-03-06,SKU-B200,WH-Sarajevo,168,7.8,0.95
2025-03-06,SKU-C300,WH-Sarajevo,407,19.9,0.95
2025-03-07,SKU-A100,WH-Sarajevo,327,12.5,0.95
2025-03-07,SKU-B200,WH-Sarajevo,159,7.8,0.95
2025-03-07,SKU-C300,WH-Sarajevo,463,19.9,0.95
2025-03-08,SKU-A100,WH-Sarajevo,325,12.5,0.95
2025-03-08,SKU-B200,WH-Sarajevo,182,7.8,0.95
2025-03-08,SKU-C300,WH-Sarajevo,415,19.9,0.95
2025-03-09,SKU-A100,WH-Sarajevo,320,12.5,0.95
2025-03-09,SKU-B200,WH-Sarajevo,198,7.8,0.95
2025-03-09,SKU-C300,WH-Sarajevo,439,19.9,0.95
2025-03-10,SKU-A100,WH-Sarajevo,315,12.5,0.95
2025-03-10,SKU-B200,WH-Sarajevo,182,7.8,0.95
2025-03-10,SKU-C300,WH-Sarajevo,458,19.9,0.95
2025-03-11,SKU-A100,WH-Sarajevo,298,12.5,0.95
2025-03-11,SKU-B200,WH-Sarajevo,167,7.8,0.95
2025-03-11,SKU-C300,WH-Sarajevo,443,19.9,0.95
2025-03-12,SKU-A100,WH-Sarajevo,257,12.5,0.95
2025-03-12,SKU-B200,WH-Sarajevo,194,7.8,0.95
2025-03-12,SKU-C300,WH-Sarajevo,450,19.9,0.95
2025-03-13,SKU-A100,WH-Sarajevo,300,12.5,0.95
2025-03-13,SKU-B200,WH-Sarajevo,183,7.8,0.95
2025-03-13,SKU-C300,WH-Sarajevo,457,19.9,0.95
2025-03-14,SKU-A100,WH-Sarajevo,250,12.5,0.95
2025-03-14,SKU-B200,WH-Sarajevo,149,7.8,0.95
2025-03-14,SKU-C300,WH-Sarajevo,473,19.9,0.95
2025-03-15,SKU-A100,WH-Sarajevo,321,12.5,0.95
2025-03-15,SKU-B200,WH-Sarajevo,174,7.8,0.95
2025-03-15,SKU-C300,WH-Sarajevo,409,19.9,0.95
2025-03-16,SKU-A100,WH-Sarajevo,287,12.5,0.95
2025-03-16,SKU-B200,WH-Sarajevo,185,7.8,0.95
2025-03-16,SKU-C300,WH-Sarajevo,441,19.9,0.95
2025-03-17,SKU-A100,WH-Sarajevo,311,12.5,0.95
2025-03-17,SKU-B200,WH-Sarajevo,174,7.8,0.95
2025-03-17,SKU-C300,WH-Sarajevo,445,19.9,0.95
2025-03-18,SKU-A100,WH-Sarajevo,319,12.5,0.95
2025-03-18,SKU-B200,WH-Sarajevo,166,7.8,0.95
2025-03-18,SKU-C300,WH-Sarajevo,404,19.9,0.95
2025-03-19,SKU-A100,WH-Sarajevo,260,12.5,0.95
2025-03-19,SKU-B200,WH-Sarajevo,137,7.8,0.95
2025-03-19,SKU-C300,WH-Sarajevo,398,19.9,0.95
2025-03-20,SKU-A100,WH-Sarajevo,317,12.5,0.95
2025-03-20,SKU-B200,WH-Sarajevo,147,7.8,0.95
2025-03-20,SKU-C300,WH-Sarajevo,453,19.9,0.95
2025-03-21,SKU-A100,WH-Sarajevo,290,12.5,0.95
2025-03-21,SKU-B200,WH-Sarajevo,193,7.8,0.95
2025-03-21,SKU-C300,WH-Sarajevo,425,19.9,0.95
2025-03-22,SKU-A100,WH-Sarajevo,261,12.5,0.95
2025-03-22,SKU-B200,WH-Sarajevo,180,7.8,0.95
2025-03-22,SKU-C300,WH-Sarajevo,442,19.9,0.95
2025-03-23,SKU-A100,WH-Sarajevo,302,12.5,0.95
2025-03-23,SKU-B200,WH-Sarajevo,152,7.8,0.95
2025-03-23,SKU-C300,WH-Sarajevo,394,19.9,0.95
2025-03-24,SKU-A100,WH-Sarajevo,281,12.5,0.95
2025-03-24,SKU-B200,WH-Sarajevo,152,7.8,0.95
2025-03-24,SKU-C300,WH-Sarajevo,435,19.9,0.95
2025-03-25,SKU-A100,WH-Sarajevo,281,12.5,0.95
2025-03-25,SKU-B200,WH-Sarajevo,187,7.8,0.95
2025-03-25,SKU-C300,WH-Sarajevo,414,19.9,0.95
2025-03-26,SKU-A100,WH-Sarajevo,311,12.5,0.95
2025-03-26,SKU-B200,WH-Sarajevo,162,7.8,0.95
2025-03-26,SKU-C300,WH-Sarajevo,452,19.9,0.95
2025-03-27,SKU-A100,WH-Sarajevo,276,12.5,0.95
2025-03-27,SKU-B200,WH-Sarajevo,130,7.8,0.95
2025-03-27,SKU-C300,WH-Sarajevo,411,19.9,0.95
2025-03-28,SKU-A100,WH-Sarajevo,253,12.5,0.95
2025-03-28,SKU-B200,WH-Sarajevo,177,7.8,0.95
2025-03-28,SKU-C300,WH-Sarajevo,432,19.9,0.95
2025-03-29,SKU-A100,WH-Sarajevo,258,12.5,0.95
2025-03-29,SKU-B200,WH-Sarajevo,128,7.8,0.95
2025-03-29,SKU-C300,WH-Sarajevo,431,19.9,0.95
2025-03-30,SKU-A100,WH-Sarajevo,287,12.5,0.95
2025-03-30,SKU-B200,WH-Sarajevo,166,7.8,0.95
2025-03-30,SKU-C300,WH-Sarajevo,420,19.9,0.95
2025-03-31,SKU-A100,WH-Sarajevo,266,12.5,0.95
2025-03-31,SKU-B200,WH-Sarajevo,145,7.8,0.95
2025-03-31,SKU-C300,WH-Sarajevo,464,19.9,0.95
2025-04-01,SKU-A100,WH-Sarajevo,290,12.5,0.95
2025-04-01,SKU-B200,WH-Sarajevo,151,7.8,0.95
2025-04-01,SKU-C300,WH-Sarajevo,404,19.9,0.95
2025-04-02,SKU-A100,WH-Sarajevo,264,12.5,0.95
2025-04-02,SKU-B200,WH-Sarajevo,195,7.8,0.95
2025-04-02,SKU-C300,WH-Sarajevo,452,19.9,0.95
2025-04-03,SKU-A100,WH-Sarajevo,253,12.5,0.95
2025-04-03,SKU-B200,WH-Sarajevo,122,7.8,0.95
2025-04-03,SKU-C300,WH-Sarajevo,422,19.9,0.95
2025-04-04,SKU-A100,WH-Sarajevo,292,12.5,0.95
2025-04-04,SKU-B200,WH-Sarajevo,160,7.8,0.95
2025-04-04,SKU-C300,WH-Sarajevo,429,19.9,0.95
2025-04-05,SKU-A100,WH-Sarajevo,265,12.5,0.95
2025-04-05,SKU-B200,WH-Sarajevo,184,7.8,0.95
2025-04-05,SKU-C300,WH-Sarajevo,424,19.9,0.95
2025-04-06,SKU-A100,WH-Sarajevo,290,12.5,0.95
2025-04-06,SKU-B200,WH-Sarajevo,159,7.8,0.95
2025-04-06,SKU-C300,WH-Sarajevo,425,19.9,0.95
2025-04-07,SKU-A100,WH-Sarajevo,242,12.5,0.95
2025-04-07,SKU-B200,WH-Sarajevo,156,7.8,0.95
2025-04-07,SKU-C300,WH-Sarajevo,437,19.9,0.95
2025-04-08,SKU-A100,WH-Sarajevo,289,12.5,0.95
2025-04-08,SKU-B200,WH-Sarajevo,173,7.8,0.95
2025-04-08,SKU-C300,WH-Sarajevo,405,19.9,0.95
2025-04-09,SKU-A100,WH-Sarajevo,310,12.5,0.95
2025-04-09,SKU-B200,WH-Sarajevo,157,7.8,0.95
2025-04-09,SKU-C300,WH-Sarajevo,445,19.9,0.95
2025-04-10,SKU-A100,WH-Sarajevo,312,12.5,0.95
2025-04-10,SKU-B200,WH-Sarajevo,132,7.8,0.95
2025-04-10,SKU-C300,WH-Sarajevo,393,19.9,0.95
2025-04-11,SKU-A100,WH-Sarajevo,272,12.5,0.95
2025-04-11,SKU-B200,WH-Sarajevo,190,7.8,0.95
2025-04-11,SKU-C300,WH-Sarajevo,461,19.9,0.95
2025-04-12,SKU-A100,WH-Sarajevo,239,12.5,0.95
2025-04-12,SKU-B200,WH-Sarajevo,195,7.8,0.95
2025-04-12,SKU-C300,WH-Sarajevo,391,19.9,0.95
2025-04-13,SKU-A100,WH-Sarajevo,307,12.5,0.95
2025-04-13,SKU-B200,WH-Sarajevo,151,7.8,0.95
2025-04-13,SKU-C300,WH-Sarajevo,405,19.9,0.95
2025-04-14,SKU-A100,WH-Sarajevo,280,12.5,0.95
2025-04-14,SKU-B200,WH-Sarajevo,191,7.8,0.95
2025-04-14,SKU-C300,WH-Sarajevo,429,19.9,0.95
2025-04-15,SKU-A100,WH-Sarajevo,309,12.5,0.95
2025-04-15,SKU-B200,WH-Sarajevo,170,7.8,0.95
2025-04-15,SKU-C300,WH-Sarajevo,390,19.9,0.95
2025-04-16,SKU-A100,WH-Sarajevo,255,12.5,0.95
2025-04-16,SKU-B200,WH-Sarajevo,174,7.8,0.95
2025-04-16,SKU-C300,WH-Sarajevo,390,19.9,0.95
2025-04-17,SKU-A100,WH-Sarajevo,279,12.5,0.95
2025-04-17,SKU-B200,WH-Sarajevo,174,7.8,0.95
2025-04-17,SKU-C300,WH-Sarajevo,422,19.9,0.95
2025-04-18,SKU-A100,WH-Sarajevo,287,12.5,0.95
2025-04-18,SKU-B200,WH-Sarajevo,198,7.8,0.95
2025-04-18,SKU-C300,WH-Sarajevo,420,19.9,0.95
2025-04-19,SKU-A100,WH-Sarajevo,317,12.5,0.95
2025-04-19,SKU-B200,WH-Sarajevo,197,7.8,0.95
2025-04-19,SKU-C300,WH-Sarajevo,425,19.9,0.95
2025-04-20,SKU-A100,WH-Sarajevo,284,12.5,0.95
2025-04-20,SKU-B200,WH-Sarajevo,169,7.8,0.95
2025-04-20,SKU-C300,WH-Sarajevo,434,19.9,0.95
2025-04-21,SKU-A100,WH-Sarajevo,294,12.5,0.95
2025-04-21,SKU-B200,WH-Sarajevo,139,7.8,0.95
2025-04-21,SKU-C300,WH-Sarajevo,390,19.9,0.95
2025-04-22,SKU-A100,WH-Sarajevo,285,12.5,0.95
2025-04-22,SKU-B200,WH-Sarajevo,164,7.8,0.95
2025-04-22,SKU-C300,WH-Sarajevo,402,19.9,0.95
2025-04-23,SKU-A100,WH-Sarajevo,310,12.5,0.95
2025-04-23,SKU-B200,WH-Sarajevo,149,7.8,0.95
2025-04-23,SKU-C300,WH-Sarajevo,406,19.9,0.95
2025-04-24,SKU-A100,WH-Sarajevo,272,12.5,0.95
2025-04-24,SKU-B200,WH-Sarajevo,151,7.8,0.95
2025-04-24,SKU-C300,WH-Sarajevo,401,19.9,0.95
2025-04-25,SKU-A100,WH-Sarajevo,264,12.5,0.95
2025-04-25,SKU-B200,WH-Sarajevo,170,7.8,0.95
2025-04-25,SKU-C300,WH-Sarajevo,441,19.9,0.95
2025-04-26,SKU-A100,WH-Sarajevo,282,12.5,0.95
2025-04-26,SKU-B200,WH-Sarajevo,180,7.8,0.95
2025-04-26,SKU-C300,WH-Sarajevo,428,19.9,0.95
2025-04-27,SKU-A100,WH-Sarajevo,294,12.5,0.95
2025-04-27,SKU-B200,WH-Sarajevo,128,7.8,0.95
2025-04-27,SKU-C300,WH-Sarajevo,432,19.9,0.95
2025-04-28,SKU-A100,WH-Sarajevo,293,12.5,0.95
2025-04-28,SKU-B200,WH-Sarajevo,137,7.8,0.95
2025-04-28,SKU-C300,WH-Sarajevo,402,19.9,0.95
2025-04-29,SKU-A100,WH-Sarajevo,263,12.5,0.95
2025-04-29,SKU-B200,WH-Sarajevo,131,7.8,0.95
2025-04-29,SKU-C300,WH-Sarajevo,415,19.9,0.95
2025-04-30,SKU-A100,WH-Sarajevo,286,12.5,0.95
2025-04-30,SKU-B200,WH-Sarajevo,167,7.8,0.95
2025-04-30,SKU-C300,WH-Sarajevo,432,19.9,0.95
2025-05-01,SKU-A100,WH-Sarajevo,241,12.5,0.95
2025-05-01,SKU-B200,WH-Sarajevo,181,7.8,0.95
2025-05-01,SKU-C300,WH-Sarajevo,410,19.9,0.95
2025-05-02,SKU-A100,WH-Sarajevo,248,12.5,0.95
2025-05-02,SKU-B200,WH-Sarajevo,173,7.8,0.95
2025-05-02,SKU-C300,WH-Sarajevo,420,19.9,0.95
2025-05-03,SKU-A100,WH-Sarajevo,271,12.5,0.95
2025-05-03,SKU-B200,WH-Sarajevo,176,7.8,0.95
2025-05-03,SKU-C300,WH-Sarajevo,432,19.9,0.95
2025-05-04,SKU-A100,WH-Sarajevo,303,12.5,0.95
2025-05-04,SKU-B200,WH-Sarajevo,157,7.8,0.95
2025-05-04,SKU-C300,WH-Sarajevo,439,19.9,0.95
2025-05-05,SKU-A100,WH-Sarajevo,291,12.5,0.95
2025-05-05,SKU-B200,WH-Sarajevo,175,7.8,0.95
2025-05-05,SKU-C300,WH-Sarajevo,433,19.9,0.95
2025-05-06,SKU-A100,WH-Sarajevo,257,12.5,0.95
2025-05-06,SKU-B200,WH-Sarajevo,156,7.8,0.95
2025-05-06,SKU-C300,WH-Sarajevo,426,19.9,0.95
2025-05-07,SKU-A100,WH-Sarajevo,285,12.5,0.95
2025-05-07,SKU-B200,WH-Sarajevo,139,7.8,0.95
2025-05-07,SKU-C300,WH-Sarajevo,403,19.9,0.95
2025-05-08,SKU-A100,WH-Sarajevo,236,12.5,0.95
2025-05-08,SKU-B200,WH-Sarajevo,190,7.8,0.95
2025-05-08,SKU-C300,WH-Sarajevo,434,19.9,0.95
2025-05-09,SKU-A100,WH-Sarajevo,263,12.5,0.95
2025-05-09,SKU-B200,WH-Sarajevo,182,7.8,0.95
2025-05-09,SKU-C300,WH-Sarajevo,453,19.9,0.95
2025-05-10,SKU-A100,WH-Sarajevo,269,12.5,0.95
2025-05-10,SKU-B200,WH-Sarajevo,160,7.8,0.95
2025-05-10,SKU-C300,WH-Sarajevo,418,19.9,0.95
2025-05-11,SKU-A100,WH-Sarajevo,257,12.5,0.95
2025-05-11,SKU-B200,WH-Sarajevo,126,7.8,0.95
2025-05-11,SKU-C300,WH-Sarajevo,462,19.9,0.95
2025-05-12,SKU-A100,WH-Sarajevo,303,12.5,0.95
2025-05-12,SKU-B200,WH-Sarajevo,166,7.8,0.95
2025-05-12,SKU-C300,WH-Sarajevo,456,19.9,0.95
2025-05-13,SKU-A100,WH-Sarajevo,237,12.5,0.95
2025-05-13,SKU-B200,WH-Sarajevo,147,7.8,0.95
2025-05-13,SKU-C300,WH-Sarajevo,427,19.9,0.95
2025-05-14,SKU-A100,WH-Sarajevo,263,12.5,0.95
2025-05-14,SKU-B200,WH-Sarajevo,116,7.8,0.95
2025-05-14,SKU-C300,WH-Sarajevo,412,19.9,0.95
2025-05-15,SKU-A100,WH-Sarajevo,295,12.5,0.95
2025-05-15,SKU-B200,WH-Sarajevo,177,7.8,0.95
2025-05-15,SKU-C300,WH-Sarajevo,432,19.9,0.95
2025-05-16,SKU-A100,WH-Sarajevo,289,12.5,0.95
2025-05-16,SKU-B200,WH-Sarajevo,113,7.8,0.95
2025-05-16,SKU-C300,WH-Sarajevo,434,19.9,0.95
2025-05-17,SKU-A100,WH-Sarajevo,309,12.5,0.95
2025-05-17,SKU-B200,WH-Sarajevo,170,7.8,0.95
