order_date,sku,customer_segment,quantity,price,promotion_flag,region
2025-01-20,SKU-C300,B2B,18,29.0,0,BA
2025-01-21,SKU-A100,B2B,30,18.0,0,BA
2025-01-21,SKU-B200,B2B,28,12.0,0,BA
2025-01-21,SKU-C300,Retail,18,29.0,1,BA
2025-01-22,SKU-A100,Retail,27,18.0,0,RS
2025-01-22,SKU-B200,Retail,20,12.0,0,RS
2025-01-22,SKU-C300,Retail,11,29.0,0,RS
2025-01-23,SKU-A100,Retail,38,18.0,0,RS
2025-01-23,SKU-B200,B2B,22,12.0,0,RS
2025-01-23,SKU-C300,Online,19,29.0,0,RS
2025-01-24,SKU-A100,Online,32,18.0,0,RS
2025-01-24,SKU-B200,Online,23,12.0,0,BA
2025-01-24,SKU-C300,B2B,24,29.0,0,HR
2025-01-25,SKU-A100,Online,31,18.0,1,BA
2025-01-25,SKU-B200,Retail,23,12.0,0,HR
2025-01-25,SKU-C300,Online,26,29.0,0,RS
2025-01-26,SKU-A100,Online,38,18.0,0,HR
2025-01-26,SKU-B200,Retail,23,12.0,0,BA
2025-01-26,SKU-C300,B2B,22,29.0,0,HR
2025-01-27,SKU-A100,Retail,36,18.0,0,RS
2025-01-27,SKU-B200,Retail,30,12.0,0,HR
2025-01-27,SKU-C300,B2B,12,29.0,0,RS
2025-01-28,SKU-A100,Online,29,18.0,0,RS
2025-01-28,SKU-B200,Retail,29,12.0,0,RS
2025-01-28,SKU-C300,Online,18,29.0,0,BA
2025-01-29,SKU-A100,Retail,37,18.0,0,RS
2025-01-29,SKU-B200,Online,25,12.0,0,HR
2025-01-29,SKU-C300,B2B,26,29.0,0,HR
2025-01-30,SKU-A100,B2B,27,18.0,1,RS
2025-01-30,SKU-B200,Online,17,12.0,0,HR
2025-01-30,SKU-C300,B2B,22,29.0,0,BA
2025-01-31,SKU-A100,B2B,37,18.0,1,BA
2025-01-31,SKU-B200,Online,20,12.0,1,BA
2025-01-31,SKU-C300,Retail,17,29.0,1,RS
2025-02-01,SKU-A100,Retail,39,18.0,0,RS
2025-02-01,SKU-B200,B2B,27,12.0,1,BA
2025-02-01,SKU-C300,Retail,20,29.0,0,BA
2025-02-02,SKU-A100,Online,27,18.0,0,BA
2025-02-02,SKU-B200,Retail,31,12.0,1,HR
2025-02-02,SKU-C300,Online,22,29.0,0,RS
2025-02-03,SKU-A100,B2B,42,18.0,0,BA
2025-02-03,SKU-B200,Retail,24,12.0,1,BA
2025-02-03,SKU-C300,B2B,15,29.0,0,RS
2025-02-04,SKU-A100,Retail,27,18.0,0,RS
2025-02-04,SKU-B200,B2B,32,12.0,0,BA
2025-02-04,SKU-C300,Online,18,29.0,0,RS
2025-02-05,SKU-A100,B2B,31,18.0,0,BA
2025-02-05,SKU-B200,Retail,29,12.0,1,RS
2025-02-05,SKU-C300,Online,12,29.0,0,HR
2025-02-06,SKU-A100,Retail,33,18.0,0,RS
2025-02-06,SKU-B200,Online,25,12.0,0,HR
2025-02-06,SKU-C300,Retail,24,29.0,1,HR
2025-02-07,SKU-A100,Online,29,18.0,1,BA
2025-02-07,SKU-B200,Retail,24,12.0,1,RS
2025-02-07,SKU-C300,B2B,18,29.0,0,RS
2025-02-08,SKU-A100,Retail,33,18.0,0,HR
2025-02-08,SKU-B200,Retail,32,12.0,0,RS
2025-02-08,SKU-C300,Online,21,29.0,0,BA
2025-02-09,SKU-A100,Online,41,18.0,0,BA
2025-02-09,SKU-B200,B2B,20,12.0,0,BA
2025-02-09,SKU-C300,B2B,26,29.0,0,RS
2025-02-10,SKU-A100,Online,39,18.0,0,BA
2025-02-10,SKU-B200,Online,27,12.0,0,BA
2025-02-10,SKU-C300,Retail,17,29.0,0,RS
2025-02-11,SKU-A100,Online,40,18.0,0,RS
2025-02-11,SKU-B200,B2B,25,12.0,0,BA
2025-02-11,SKU-C300,Online,22,29.0,0,HR
2025-02-12,SKU-A100,Retail,42,18.0,0,HR
2025-02-12,SKU-B200,B2B,18,12.0,0,HR
2025-02-12,SKU-C300,Retail,11,29.0,0,BA
2025-02-13,SKU-A100,B2B,30,18.0,0,RS
2025-02-13,SKU-B200,Online,23,12.0,0,RS
2025-02-13,SKU-C300,Retail,12,29.0,0,HR
2025-02-14,SKU-A100,Online,38,18.0,0,BA
2025-02-14,SKU-B200,Retail,21,12.0,0,HR
2025-02-14,SKU-C300,B2B,12,29.0,0,RS
2025-02-15,SKU-A100,Online,29,18.0,0,BA
2025-02-15,SKU-B200,B2B,22,12.0,1,HR
2025-02-15,SKU-C300,B2B,26,29.0,0,HR
2025-02-16,SKU-A100,Retail,43,18.0,0,BA
2025-02-16,SKU-B200,Retail,31,12.0,0,HR
2025-02-16,SKU-C300,Online,12,29.0,0,HR
2025-02-17,SKU-A100,Online,27,18.0,0,RS
2025-02-17,SKU-B200,B2B,26,12.0,0,RS
2025-02-17,SKU-C300,Online,10,29.0,0,RS
2025-02-18,SKU-A100,B2B,40,18.0,0,RS
2025-02-18,SKU-B200,Online,24,12.0,0,RS
2025-02-18,SKU-C300,Retail,25,29.0,1,BA
2025-02-19,SKU-A100,Retail,43,18.0,1,RS
2025-02-19,SKU-B200,Retail,18,12.0,0,BA
2025-02-19,SKU-C300,B2B,21,29.0,0,HR
2025-02-20,SKU-A100,Online,31,18.0,0,HR
2025-02-20,SKU-B200,Online,31,12.0,0,BA
2025-02-20,SKU-C300,Retail,14,29.0,0,RS
2025-02-21,SKU-A100,Retail,38,18.0,1,HR
2025-02-21,SKU-B200,Online,25,12.0,1,HR
2025-02-21,SKU-C300,Retail,14,29.0,0,HR
2025-02-22,SKU-A100,Retail,31,18.0,0,BA
2025-02-22,SKU-B200,Online,18,12.0,0,RS
2025-02-22,SKU-C300,B2B,24,29.0,0,BA
2025-02-23,SKU-A100,Online,43,18.0,0,RS
2025-02-23,SKU-B200,Retail,28,12.0,0,HR
2025-02-23,SKU-C300,B2B,19,29.0,1,BA
2025-02-24,SKU-A100,Online,36,18.0,1,BA
2025-02-24,SKU-B200,B2B,21,12.0,0,HR
2025-02-24,SKU-C300,Retail,22,29.0,0,RS
2025-02-25,SKU-A100,B2B,34,18.0,0,RS
2025-02-25,SKU-B200,B2B,20,12.0,0,HR
2025-02-25,SKU-C300,B2B,22,29.0,0,HR
2025-02-26,SKU-A100,Retail,28,18.0,1,HR
2025-02-26,SKU-B200,Online,17,12.0,0,RS
2025-02-26,SKU-C300,B2B,14,29.0,0,HR
2025-02-27,SKU-A100,Retail,30,18.0,0,HR
2025-02-27,SKU-B200,B2B,24,12.0,0,HR
2025-02-27,SKU-C300,B2B,25,29.0,0,BA
2025-02-28,SKU-A100,B2B,28,18.0,0,BA
2025-02-28,SKU-B200,Retail,17,12.0,0,RS
2025-02-28,SKU-C300,Online,10,29.0,0,HR
2025-03-01,SKU-A100,Online,35,18.0,0,BA
2025-03-01,SKU-B200,Retail,29,12.0,0,BA
2025-03-01,SKU-C300,Online,17,29.0,1,HR
2025-03-02,SKU-A100,B2B,31,18.0,0,RS
2025-03-02,SKU-B200,Online,26,12.0,1,BA
2025-03-02,SKU-C300,Online,23,29.0,0,RS
2025-03-03,SKU-A100,Online,30,18.0,0,HR
2025-03-03,SKU-B200,Online,19,12.0,0,BA
2025-03-03,SKU-C300,Retail,20,29.0,0,HR
2025-03-04,SKU-A100,B2B,37,18.0,0,RS
2025-03-04,SKU-B200,Online,31,12.0,0,BA
2025-03-04,SKU-C300,Retail,22,29.0,0,BA
2025-03-05,SKU-A100,Retail,30,18.0,1,RS
2025-03-05,SKU-B200,B2B,20,12.0,0,BA
2025-03-05,SKU-C300,B2B,24,29.0,0,HR
2025-03-06,SKU-A100,Online,41,18.0,0,RS
2025-03-06,SKU-B200,Online,26,12.0,1,BA
2025-03-06,SKU-C300,Retail,11,29.0,1,HR
2025-03-07,SKU-A100,B2B,41,18.0,0,HR
2025-03-07,SKU-B200,Retail,25,12.0,0,HR
2025-03-07,SKU-C300,Retail,24,29.0,0,HR
2025-03-08,SKU-A100,Online,33,18.0,0,BA
2025-03-08,SKU-B200,Retail,21,12.0,1,RS
2025-03-08,SKU-C300,B2B,15,29.0,0,HR
2025-03-09,SKU-A100,B2B,42,18.0,0,HR
2025-03-09,SKU-B200,B2B,19,12.0,0,BA
2025-03-09,SKU-C300,B2B,20,29.0,0,HR
2025-03-10,SKU-A100,Online,35,18.0,0,HR
2025-03-10,SKU-B200,B2B,28,12.0,0,RS
2025-03-10,SKU-C300,B2B,22,29.0,1,RS
2025-03-11,SKU-A100,B2B,27,18.0,0,BA
2025-03-11,SKU-B200,Online,16,12.0,1,RS
2025-03-11,SKU-C300,Online,17,29.0,0,HR
2025-03-12,SKU-A100,B2B,42,18.0,0,HR
2025-03-12,SKU-B200,Retail,17,12.0,1,HR
2025-03-12,SKU-C300,Retail,21,29.0,0,HR
2025-03-13,SKU-A100,B2B,33,18.0,1,BA
2025-03-13,SKU-B200,Online,24,12.0,1,BA
2025-03-13,SKU-C300,Online,25,29.0,0,HR
2025-03-14,SKU-A100,Retail,28,18.0,0,HR
2025-03-14,SKU-B200,B2B,29,12.0,1,BA
2025-03-14,SKU-C300,B2B,14,29.0,1,HR
2025-03-15,SKU-A100,B2B,27,18.0,0,BA
2025-03-15,SKU-B200,Retail,28,12.0,0,BA
2025-03-15,SKU-C300,Online,17,29.0,0,HR
2025-03-16,SKU-A100,Retail,43,18.0,0,BA
2025-03-16,SKU-B200,B2B,25,12.0,0,RS
2025-03-16,SKU-C300,Online,20,29.0,0,BA
2025-03-17,SKU-A100,Retail,28,18.0,1,BA
2025-03-17,SKU-B200,Retail,28,12.0,0,BA
2025-03-17,SKU-C300,Retail,21,29.0,0,RS
2025-03-18,SKU-A100,B2B,40,18.0,0,RS
2025-03-18,SKU-B200,Online,18,12.0,0,HR
2025-03-18,SKU-C300,Retail,17,29.0,1,HR
2025-03-19,SKU-A100,Online,38,18.0,0,BA
2025-03-19,SKU-B200,B2B,20,12.0,0,BA
2025-03-19,SKU-C300,Online,18,29.0,1,BA
2025-03-20,SKU-A100,Online,33,18.0,0,RS
2025-03-20,SKU-B200,B2B,24,12.0,0,HR
2025-03-20,SKU-C300,Online,23,29.0,1,BA
2025-03-21,SKU-A100,Retail,36,18.0,0,RS
2025-03-21,SKU-B200,B2B,20,12.0,1,BA
2025-03-21,SKU-C300,Online,17,29.0,0,RS
2025-03-22,SKU-A100,B2B,37,18.0,0,HR
2025-03-22,SKU-B200,B2B,18,12.0,1,RS
2025-03-22,SKU-C300,B2B,10,29.0,0,HR
2025-03-23,SKU-A100,B2B,39,18.0,1,HR
2025-03-23,SKU-B200,B2B,32,12.0,1,BA
2025-03-23,SKU-C300,Online,23,29.0,0,HR
2025-03-24,SKU-A100,B2B,39,18.0,0,RS
2025-03-24,SKU-B200,Online,27,12.0,0,RS
2025-03-24,SKU-C300,Online,16,29.0,0,HR
2025-03-25,SKU-A100,B2B,36,18.0,0,BA
2025-03-25,SKU-B200,B2B,19,12.0,0,HR
2025-03-25,SKU-C300,Online,18,29.0,0,HR
2025-03-26,SKU-A100,Retail,43,18.0,1,HR
2025-03-26,SKU-B200,B2B,29,12.0,0,RS
2025-03-26,SKU-C300,Online,17,29.0,0,RS
2025-03-27,SKU-A100,Retail,42,18.0,0,BA
2025-03-27,SKU-B200,Online,31,12.0,1,BA
2025-03-27,SKU-C300,Online,19,29.0,1,BA
2025-03-28,SKU-A100,Online,28,18.0,1,RS
2025-03-28,SKU-B200,Retail,19,12.0,0,RS
2025-03-28,SKU-C300,Online,20,29.0,0,RS
2025-03-29,SKU-A100,B2B,39,18.0,0,BA
2025-03-29,SKU-B200,Retail,23,12.0,1,RS
2025-03-29,SKU-C300,B2B,26,29.0,0,RS
2025-03-30,SKU-A100,B2B,32,18.0,0,BA
2025-03-30,SKU-B200,Online,17,12.0,0,BA
2025-03-30,SKU-C300,Online,10,29.0,0,HR
2025-03-31,SKU-A100,B2B,35,18.0,0,HR
2025-03-31,SKU-B200,Retail,30,12.0,0,HR
2025-03-31,SKU-C300,B2B,25,29.0,0,BA
2025-04-01,SKU-A100,Online,31,18.0,0,RS
2025-04-01,SKU-B200,Online,20,12.0,0,RS
2025-04-01,SKU-C300,Retail,19,29.0,1,HR
2025-04-02,SKU-A100,B2B,28,18.0,0,BA
2025-04-02,SKU-B200,B2B,25,12.0,0,BA
2025-04-02,SKU-C300,Retail,11,29.0,1,BA
2025-04-03,SKU-A100,B2B,43,18.0,0,RS
2025-04-03,SKU-B200,Retail,27,12.0,0,HR
2025-04-03,SKU-C300,Online,25,29.0,0,RS
2025-04-04,SKU-A100,Online,27,18.0,1,RS
2025-04-04,SKU-B200,Retail,32,12.0,0,BA
2025-04-04,SKU-C300,B2B,19,29.0,1,HR
2025-04-05,SKU-A100,Retail,35,18.0,1,RS
2025-04-05,SKU-B200,Online,20,12.0,1,RS
2025-04-05,SKU-C300,Online,22,29.0,1,HR
2025-04-06,SKU-A100,Online,33,18.0,0,BA
2025-04-06,SKU-B200,B2B,22,12.0,0,BA
2025-04-06,SKU-C300,Online,17,29.0,1,BA
2025-04-07,SKU-A100,Retail,28,18.0,1,RS
2025-04-07,SKU-B200,Online,25,12.0,1,HR
2025-04-07,SKU-C300,B2B,26,29.0,1,HR
2025-04-08,SKU-A100,B2B,40,18.0,0,BA
2025-04-08,SKU-B200,Retail,27,12.0,1,HR
2025-04-08,SKU-C300,B2B,25,29.0,0,RS
2025-04-09,SKU-A100,Retail,34,18.0,0,BA
2025-04-09,SKU-B200,B2B,23,12.0,0,HR
2025-04-09,SKU-C300,Retail,17,29.0,0,RS
2025-04-10,SKU-A100,B2B,36,18.0,1,RS
2025-04-10,SKU-B200,Online,23,12.0,0,BA
2025-04-10,SKU-C300,B2B,25,29.0,0,RS
2025-04-11,SKU-A100,Online,35,18.0,0,HR
2025-04-11,SKU-B200,B2B,24,12.0,0,BA
2025-04-11,SKU-C300,B2B,17,29.0,0,RS
2025-04-12,SKU-A100,Retail,40,18.0,0,RS
2025-04-12,SKU-B200,B2B,19,12.0,0,BA
2025-04-12,SKU-C300,Online,18,29.0,0,RS
2025-04-13,SKU-A100,Online,43,18.0,1,RS
2025-04-13,SKU-B200,Retail,26,12.0,1,HR
2025-04-13,SKU-C300,B2B,14,29.0,1,RS
2025-04-14,SKU-A100,Online,35,18.0,0,BA
2025-04-14,SKU-B200,B2B,30,12.0,1,HR
2025-04-14,SKU-C300,B2B,12,29.0,0,RS
2025-04-15,SKU-A100,Online,38,18.0,0,BA
2025-04-15,SKU-B200,Retail,29,12.0,0,RS
2025-04-15,SKU-C300,Online,20,29.0,0,RS
2025-04-16,SKU-A100,Retail,33,18.0,1,BA
2025-04-16,SKU-B200,Online,31,12.0,0,HR
2025-04-16,SKU-C300,Retail,15,29.0,0,BA
2025-04-17,SKU-A100,Retail,34,18.0,0,BA
2025-04-17,SKU-B200,B2B,18,12.0,0,HR
2025-04-17,SKU-C300,Retail,26,29.0,0,HR
2025-04-18,SKU-A100,Retail,41,18.0,0,BA
2025-04-18,SKU-B200,B2B,20,12.0,0,RS
2025-04-18,SKU-C300,Online,24,29.0,0,BA
2025-04-19,SKU-A100,B2B,27,18.0,0,RS
2025-04-19,SKU-B200,Online,21,12.0,0,BA
2025-04-19,SKU-C300,Online,24,29.0,1,BA
2025-04-20,SKU-A100,Retail,31,18.0,0,BA
2025-04-20,SKU-B200,Retail,16,12.0,0,BA
2025-04-20,SKU-C300,Retail,11,29.0,0,HR
2025-04-21,SKU-A100,B2B,38,18.0,1,RS
2025-04-21,SKU-B200,Online,19,12.0,0,RS
2025-04-21,SKU-C300,B2B,13,29.0,1,HR
2025-04-22,SKU-A100,Online,42,18.0,1,HR
2025-04-22,SKU-B200,Online,28,12.0,0,HR
2025-04-22,SKU-C300,B2B,24,29.0,1,BA
2025-04-23,SKU-A100,Retail,33,18.0,0,BA
2025-04-23,SKU-B200,Online,28,12.0,1,RS
2025-04-23,SKU-C300,Retail,24,29.0,1,BA
2025-04-24,SKU-A100,B2B,32,18.0,0,BA
2025-04-24,SKU-B200,Retail,28,12.0,0,BA
2025-04-24,SKU-C300,Online,14,29.0,1,HR
2025-04-25,SKU-A100,Online,27,18.0,0,RS
2025-04-25,SKU-B200,B2B,26,12.0,0,BA
2025-04-25,SKU-C300,Online,12,29.0,0,RS
2025-04-26,SKU-A100,Online,37,18.0,0,HR
2025-04-26,SKU-B200,B2B,22,12.0,0,RS
2025-04-26,SKU-C300,Online,23,29.0,0,RS
2025-04-27,SKU-A100,Online,31,18.0,0,HR
2025-04-27,SKU-B200,B2B,17,12.0,1,RS
2025-04-27,SKU-C300,Online,16,29.0,0,BA
2025-04-28,SKU-A100,Online,34,18.0,0,BA
2025-04-28,SKU-B200,B2B,30,12.0,0,HR
2025-04-28,SKU-C300,Online,18,29.0,1,BA
2025-04-29,SKU-A100,Retail,27,18.0,0,RS
2025-04-29,SKU-B200,Retail,22,12.0,0,BA
2025-04-29,SKU-C300,Online,15,29.0,0,RS
2025-04-30,SKU-A100,Retail,30,18.0,0,HR
2025-04-30,SKU-B200,B2B,28,12.0,0,HR
2025-04-30,SKU-C300,B2B,12,29.0,0,BA
2025-05-01,SKU-A100,Online,29,18.0,0,RS
2025-05-01,SKU-B200,Retail,25,12.0,1,HR
2025-05-01,SKU-C300,Retail,23,29.0,0,BA
2025-05-02,SKU-A100,B2B,28,18.0,0,RS
2025-05-02,SKU-B200,B2B,25,12.0,1,HR
2025-05-02,SKU-C300,Retail,21,29.0,0,BA
2025-05-03,SKU-A100,B2B,43,18.0,0,HR
2025-05-03,SKU-B200,Retail,23,12.0,0,BA
2025-05-03,SKU-C300,Online,10,29.0,0,HR
2025-05-04,SKU-A100,B2B,38,18.0,0,HR
2025-05-04,SKU-B200,Online,26,12.0,0,RS
2025-05-04,SKU-C300,Online,10,29.0,0,RS
2025-05-05,SKU-A100,Online,31,18.0,0,BA
2025-05-05,SKU-B200,B2B,17,12.0,0,HR
2025-05-05,SKU-C300,Online,15,29.0,0,HR
2025-05-06,SKU-A100,Online,30,18.0,0,RS
2025-05-06,SKU-B200,Online,19,12.0,0,HR
2025-05-06,SKU-C300,Retail,14,29.0,0,HR
2025-05-07,SKU-A100,Retail,39,18.0,0,HR
2025-05-07,SKU-B200,B2B,21,12.0,0,RS
2025-05-07,SKU-C300,Online,24,29.0,0,RS
2025-05-08,SKU-A100,Retail,42,18.0,0,BA
2025-05-08,SKU-B200,Online,24,12.0,0,HR
2025-05-08,SKU-C300,Online,23,29.0,0,HR
2025-05-09,SKU-A100,Retail,32,18.0,0,HR
2025-05-09,SKU-B200,Retail,18,12.0,0,HR
2025-05-09,SKU-C300,Retail,11,29.0,0,RS
2025-05-10,SKU-A100,Online,35,18.0,0,BA
2025-05-10,SKU-B200,Retail,23,12.0,0,RS
2025-05-10,SKU-C300,Online,11,29.0,0,RS
2025-05-11,SKU-A100,Online,39,18.0,0,BA
2025-05-11,SKU-B200,Retail,22,12.0,0,RS
2025-05-11,SKU-C300,B2B,11,29.0,0,BA
2025-05-12,SKU-A100,B2B,30,18.0,0,RS
2025-05-12,SKU-B200,Online,20,12.0,0,RS
2025-05-12,SKU-C300,B2B,22,29.0,0,BA
2025-05-13,SKU-A100,Retail,35,18.0,0,BA
2025-05-13,SKU-B200,B2B,28,12.0,0,BA
2025-05-13,SKU-C300,Online,25,29.0,1,HR
2025-05-14,SKU-A100,B2B,34,18.0,0,HR
2025-05-14,SKU-B200,Retail,30,12.0,0,BA
2025-05-14,SKU-C300,Retail,22,29.0,1,BA
2025-05-15,SKU-A100,Retail,38,18.0,0,BA
2025-05-15,SKU-B200,Retail,22,12.0,1,BA
2025-05-15,SKU-C300,Retail,23,29.0,0,BA
2025-05-16,SKU-A100,Online,39,18.0,1,BA
2025-05-16,SKU-B200,Retail,29,12.0,0,BA
2025-05-16,SKU-C300,Online,23,29.0,0,HR
2025-05-17,SKU-A100,Retail,42,18.0,0,RS
2025-05-17,SKU-B200,Retail,20,12.0,0,BA
2025-05-17,SKU-C300,Retail,21,29.0,0,BA
2025-05-18,SKU-A100,Retail,43,18.0,0,HR
2025-05-18,SKU-B200,Online,20,12.0,1,BA
2025-05-18,SKU-C300,B2B,20,29.0,0,RS
2025-05-19,SKU-A100,Online,43,18.0,0,HR
2025-05-19,SKU-B200,B2B,25,12.0,1,HR
2025-05-19,SKU-C300,Online,20,29.0,1,BA
2025-05-20,SKU-A100,Online,36,18.0,0,BA
2025-05-20,SKU-B200,Retail,29,12.0,0,BA
2025-05-20,SKU-C300,B2B,19,29.0,0,BA
2025-05-21,SKU-A100,Retail,42,18.0,1,BA
2025-05-21,SKU-B200,Retail,16,12.0,1,HR
2025-05-21,SKU-C300,B2B,21,29.0,0,RS
2025-05-22,SKU-A100,Retail,28,18.0,0,HR
2025-05-22,SKU-B200,B2B,31,12.0,1,HR
2025-05-22,SKU-C300,Online,15,29.0,0,BA
2025-05-23,SKU-A100,Online,30,18.0,0,HR
2025-05-23,SKU-B200,B2B,22,12.0,0,HR
2025-05-23,SKU-C300,Online,25,29.0,0,RS
2025-05-24,SKU-A100,B2B,31,18.0,0,RS
2025-05-24,SKU-B200,Retail,18,12.0,0,RS
2025-05-24,SKU-C300,B2B,26,29.0,1,RS
2025-05-25,SKU-A100,B2B,37,18.0,0,HR
2025-05-25,SKU-B200,B2B,29,12.0,1,BA
2025-05-25,SKU-C300,Retail,24,29.0,0,BA
2025-05-26,SKU-A100,B2B,35,18.0,0,RS
2025-05-26,SKU-B200,Online,25,12.0,1,HR
2025-05-26,SKU-C300,B2B,12,29.0,1,BA
2025-05-27,SKU-A100,Retail,28,18.0,0,RS
2025-05-27,SKU-B200,Online,20,12.0,1,BA
2025-05-27,SKU-C300,Online,20,29.0,0,BA
2025-05-28,SKU-A100,B2B,40,18.0,0,RS
2025-05-28,SKU-B200,Retail,31,12.0,0,HR
2025-05-28,SKU-C300,B2B,18,29.0,0,HR
2025-05-29,SKU-A100,Online,38,18.0,0,BA
2025-05-29,SKU-B200,Online,28,12.0,0,BA
2025-05-29,SKU-C300,B2B,18,29.0,0,RS
2025-05-30,SKU-A100,Online,42,18.0,0,BA
2025-05-30,SKU-B200,Online,18,12.0,0,BA
2025-05-30,SKU-C300,B2B,21,29.0,0,HR
2025-05-31,SKU-A100,B2B,42,18.0,1,RS
2025-05-31,SKU-B200,B2B,26,12.0,1,HR
2025-05-31,SKU-C300,Online,13,29.0,0,HR
2025-06-01,SKU-A100,Retail,31,18.0,0,RS
2025-06-01,SKU-B200,Online,25,12.0,0,HR
2025-06-01,SKU-C300,Retail,19,29.0,0,HR
2025-06-02,SKU-A100,Online,36,18.0,0,RS
2025-06-02,SKU-B200,B2B,17,12.0,0,HR
2025-06-02,SKU-C300,Retail,19,29.0,0,BA
2025-06-03,SKU-A100,Retail,38,18.0,0,BA
2025-06-03,SKU-B200,Retail,31,12.0,0,RS
2025-06-03,SKU-C300,Retail,12,29.0,0,BA
2025-06-04,SKU-A100,Retail,30,18.0,1,BA
2025-06-04,SKU-B200,B2B,28,12.0,0,HR
2025-06-04,SKU-C300,Retail,19,29.0,0,RS
2025-06-05,SKU-A100,Online,42,18.0,0,BA
2025-06-05,SKU-B200,Online,28,12.0,0,HR
2025-06-05,SKU-C300,Retail,14,29.0,0,BA
2025-06-06,SKU-A100,Retail,33,18.0,1,RS
2025-06-06,SKU-B200,Online,18,12.0,0,HR
2025-06-06,SKU-C300,B2B,13,29.0,0,RS
2025-06-07,SKU-A100,Online,43,18.0,1,RS
2025-06-07,SKU-B200,B2B,23,12.0,0,BA
2025-06-07,SKU-C300,Online,11,29.0,0,HR
2025-06-08,SKU-A100,Retail,32,18.0,0,BA
2025-06-08,SKU-B200,Retail,20,12.0,1,HR
2025-06-08,SKU-C300,Online,24,29.0,0,RS
2025-06-09,SKU-A100,B2B,29,18.0,0,BA
2025-06-09,SKU-B200,Online,18,12.0,0,BA
2025-06-09,SKU-C300,B2B,14,29.0,0,BA
2025-06-10,SKU-A100,Online,41,18.0,0,RS
2025-06-10,SKU-B200,Online,28,12.0,0,BA
2025-06-10,SKU-C300,Retail,24,29.0,1,HR
2025-06-11,SKU-A100,Retail,37,18.0,1,RS
2025-06-11,SKU-B200,Online,17,12.0,0,RS
2025-06-11,SKU-C300,Retail,16,29.0,0,BA
