order_date,sku,forecast_quantity,model_mape
2026-01-26,SKU-B200,27,0.1971
2026-01-26,SKU-C300,17,0.1971
2026-01-27,SKU-A100,34,0.1971
2026-01-27,SKU-B200,27,0.1971
2026-01-27,SKU-C300,19,0.1971
2026-01-28,SKU-A100,34,0.1971
2026-01-28,SKU-B200,25,0.1971
2026-01-28,SKU-C300,19,0.1971
2026-01-29,SKU-A100,33,0.1971
2026-01-29,SKU-B200,25,0.1971
2026-01-29,SKU-C300,21,0.1971
2026-01-30,SKU-A100,33,0.1971
2026-01-30,SKU-B200,25,0.1971
2026-01-30,SKU-C300,20,0.1971
2026-01-31,SKU-A100,33,0.1971
2026-01-31,SKU-B200,24,0.1971
2026-01-31,SKU-C300,21,0.1971
2026-02-01,SKU-A100,34,0.1971
2026-02-01,SKU-B200,24,0.1971
2026-02-01,SKU-C300,20,0.1971
2026-02-02,SKU-A100,37,0.1971
2026-02-02,SKU-B200,27,0.1971
2026-02-02,SKU-C300,18,0.1971
2026-02-03,SKU-A100,34,0.1971
2026-02-03,SKU-B200,27,0.1971
2026-02-03,SKU-C300,19,0.1971
2026-02-04,SKU-A100,33,0.1971
2026-02-04,SKU-B200,26,0.1971
2026-02-04,SKU-C300,18,0.1971
2026-02-05,SKU-A100,31,0.1971
2026-02-05,SKU-B200,26,0.1971
2026-02-05,SKU-C300,21,0.1971
2026-02-06,SKU-A100,32,0.1971
2026-02-06,SKU-B200,25,0.1971
2026-02-06,SKU-C300,20,0.1971
2026-02-07,SKU-A100,32,0.1971
2026-02-07,SKU-B200,24,0.1971
2026-02-07,SKU-C300,21,0.1971
2026-02-08,SKU-A100,34,0.1971
2026-02-08,SKU-B200,24,0.1971
2026-02-08,SKU-C300,21,0.1971
2026-02-09,SKU-A100,36,0.1971
2026-02-09,SKU-B200,26,0.1971
2026-02-09,SKU-C300,18,0.1971
2026-02-10,SKU-A100,35,0.1971
2026-02-10,SKU-B200,26,0.1971
2026-02-10,SKU-C300,20,0.1971
2026-02-11,SKU-A100,35,0.1971
2026-02-11,SKU-B200,24,0.1971
2026-02-11,SKU-C300,18,0.1971
2026-02-12,SKU-A100,34,0.1971
2026-02-12,SKU-B200,24,0.1971
2026-02-12,SKU-C300,20,0.1971
2026-02-13,SKU-A100,34,0.1971
2026-02-13,SKU-B200,23,0.1971
2026-02-13,SKU-C300,19,0.1971
2026-02-14,SKU-A100,34,0.1971
2026-02-14,SKU-B200,23,0.1971
2026-02-14,SKU-C300,20,0.1971
2026-02-15,SKU-A100,36,0.1971
2026-02-15,SKU-B200,22,0.1971
2026-02-15,SKU-C300,20,0.1971
2026-02-16,SKU-A100,36,0.1971
2026-02-16,SKU-B200,24,0.1971
2026-02-16,SKU-C300,18,0.1971
2026-02-17,SKU-A100,35,0.1971
2026-02-17,SKU-B200,25,0.1971
2026-02-17,SKU-C300,19,0.1971
2026-02-18,SKU-A100,35,0.1971
2026-02-18,SKU-B200,22,0.1971
2026-02-18,SKU-C300,19,0.1971
2026-02-19,SKU-A100,34,0.1971
2026-02-19,SKU-B200,24,0.1971
2026-02-19,SKU-C300,22,0.1971
2026-02-20,SKU-A100,33,0.1971
2026-02-20,SKU-B200,24,0.1971
2026-02-20,SKU-C300,21,0.1971
2026-02-21,SKU-A100,32,0.1971
2026-02-21,SKU-B200,23,0.1971
2026-02-21,SKU-C300,22,0.1971
2026-02-22,SKU-A100,35,0.1971
2026-02-22,SKU-B200,23,0.1971
2026-02-22,SKU-C300,21,0.1971
2026-02-23,SKU-A100,34,0.1971
2026-02-23,SKU-B200,23,0.1971
2026-02-23,SKU-C300,21,0.1971
2026-02-24,SKU-A100,33,0.1971
2026-02-24,SKU-B200,23,0.1971
2026-02-24,SKU-C300,22,0.1971
2026-02-25,SKU-A100,32,0.1971
2026-02-25,SKU-B200,21,0.1971
2026-02-25,SKU-C300,20,0.1971
2026-02-26,SKU-A100,31,0.1971
2026-02-26,SKU-B200,24,0.1971
2026-02-26,SKU-C300,22,0.1971
2026-02-27,SKU-A100,30,0.1971
2026-02-27,SKU-B200,23,0.1971
2026-02-27,SKU-C300,21,0.1971
2026-02-28,SKU-A100,30,0.1971
2026-02-28,SKU-B200,23,0.1971
2026-02-28,SKU-C300,21,0.1971
2026-03-01,SKU-A100,34,0.1971
2026-03-01,SKU-B200,23,0.1971
2026-03-01,SKU-C300,20,0.1971
2026-03-02,SKU-A100,33,0.1971
2026-03-02,SKU-B200,24,0.1971
2026-03-02,SKU-C300,22,0.1971
2026-03-03,SKU-A100,32,0.1971
2026-03-03,SKU-B200,24,0.1971
2026-03-03,SKU-C300,22,0.1971
2026-03-04,SKU-A100,32,0.1971
2026-03-04,SKU-B200,22,0.1971
2026-03-04,SKU-C300,20,0.1971
2026-03-05,SKU-A100,33,0.1971
2026-03-05,SKU-B200,24,0.1971
2026-03-05,SKU-C300,23,0.1971
2026-03-06,SKU-A100,33,0.1971
2026-03-06,SKU-B200,24,0.1971
2026-03-06,SKU-C300,21,0.1971
2026-03-07,SKU-A100,33,0.1971
2026-03-07,SKU-B200,23,0.1971
2026-03-07,SKU-C300,21,0.1971
2026-03-08,SKU-A100,35,0.1971
2026-03-08,SKU-B200,22,0.1971
2026-03-08,SKU-C300,20,0.1971
2026-03-09,SKU-A100,33,0.1971
2026-03-09,SKU-B200,25,0.1971
2026-03-09,SKU-C300,22,0.1971
2026-03-10,SKU-A100,32,0.1971
2026-03-10,SKU-B200,24,0.1971
2026-03-10,SKU-C300,22,0.1971
2026-03-11,SKU-A100,32,0.1971
2026-03-11,SKU-B200,21,0.1971
2026-03-11,SKU-C300,20,0.1971
2026-03-12,SKU-A100,33,0.1971
2026-03-12,SKU-B200,24,0.1971
2026-03-12,SKU-C300,22,0.1971
2026-03-13,SKU-A100,32,0.1971
2026-03-13,SKU-B200,24,0.1971
2026-03-13,SKU-C300,20,0.1971
2026-03-14,SKU-A100,31,0.1971
2026-03-14,SKU-B200,23,0.1971
2026-03-14,SKU-C300,20,0.1971
2026-03-15,SKU-A100,34,0.1971
2026-03-15,SKU-B200,23,0.1971
2026-03-15,SKU-C300,19,0.1971
2026-03-16,SKU-A100,34,0.1971
2026-03-16,SKU-B200,25,0.1971
2026-03-16,SKU-C300,22,0.1971
2026-03-17,SKU-A100,34,0.1971
2026-03-17,SKU-B200,24,0.1971
2026-03-17,SKU-C300,21,0.1971
2026-03-18,SKU-A100,35,0.1971
2026-03-18,SKU-B200,22,0.1971
2026-03-18,SKU-C300,19,0.1971
2026-03-19,SKU-A100,36,0.1971
2026-03-19,SKU-B200,24,0.1971
2026-03-19,SKU-C300,22,0.1971
2026-03-20,SKU-A100,35,0.1971
2026-03-20,SKU-B200,23,0.1971
2026-03-20,SKU-C300,20,0.1971
2026-03-21,SKU-A100,35,0.1971
2026-03-21,SKU-B200,22,0.1971
2026-03-21,SKU-C300,20,0.1971
2026-03-22,SKU-A100,36,0.1971
2026-03-22,SKU-B200,22,0.1971
2026-03-22,SKU-C300,19,0.1971
2026-03-23,SKU-A100,36,0.1971
2026-03-23,SKU-B200,25,0.1971
2026-03-23,SKU-C300,22,0.1971
2026-03-24,SKU-A100,36,0.1971
2026-03-24,SKU-B200,24,0.1971
2026-03-24,SKU-C300,21,0.1971
2026-03-25,SKU-A100,36,0.1971
2026-03-25,SKU-B200,23,0.1971
2026-03-25,SKU-C300,19,0.1971
2026-03-26,SKU-A100,37,0.1971
2026-03-26,SKU-B200,25,0.1971
2026-03-26,SKU-C300,22,0.1971
2026-03-27,SKU-A100,36,0.1971
2026-03-27,SKU-B200,24,0.1971
2026-03-27,SKU-C300,21,0.1971
2026-03-28,SKU-A100,36,0.1971
2026-03-28,SKU-B200,23,0.1971
2026-03-28,SKU-C300,21,0.1971
2026-03-29,SKU-A100,36,0.1971
2026-03-29,SKU-B200,23,0.1971
2026-03-29,SKU-C300,19,0.1971
2026-03-30,SKU-A100,35,0.1971
2026-03-30,SKU-B200,26,0.1971
2026-03-30,SKU-C300,22,0.1971
2026-03-31,SKU-A100,35,0.1971
2026-03-31,SKU-B200,26,0.1971
2026-03-31,SKU-C300,21,0.1971
